date,value
2017-02-22,4164681.5730461376
2017-02-25,4228953.814983158
2017-03-07,3979622.376169662
2017-03-17,5788404.142355311
2017-03-27,5772360.734303283
2017-04-23,6137226.578298653
2017-05-03,6137226.578298653
2017-05-16,6142146.150128214
2017-05-23,6142146.150128214
2017-05-26,6222701.516438982
2017-06-02,5948103.94872511
2017-06-05,5948103.94872511
2017-06-12,6202938.443806681
2017-06-15,6209523.598264772
2017-06-22,6168408.029312226
2017-06-25,6084840.276972593
2017-07-02,6052181.715094784
2017-07-05,6145426.659779905
2017-07-07,6075036.008306212
2017-07-10,6075036.008306212
2017-07-12,6075036.008306212
2017-07-17,5783589.422375108
2017-07-22,5663695.134166045
2017-07-27,6029358.715173636
2017-08-04,6044027.049672729
2017-08-06,6044027.049672729
2017-08-11,5654143.029960023
2017-08-14,5987056.277470727
2017-08-19,5977309.541652269
2017-08-21,5969191.667324111
2017-08-24,5920568.612437711
2017-08-26,5839851.59616287
2017-08-29,5852739.271790161
2017-09-03,5721130.580247653
2017-09-20,5563690.482757466
2017-09-23,5505259.645231947
2017-09-28,5738722.239280891
2017-10-03,5546295.759971108
2017-10-05,4818774.126718046
2017-10-08,4857877.668353211
2017-10-10,4763324.906280433
2017-10-13,4788772.638373351
2017-10-15,4636826.722455191
2017-10-18,4466197.90995205
2017-10-25,4207490.032438379
2017-10-28,4018920.0853869645
2017-10-30,4213209.829914799
2017-11-07,3745427.3841831647
2017-11-17,3766004.89524669
2017-11-19,4120613.396558073
2017-11-22,3930697.7202731716
2017-11-24,3930697.7202731716
2017-11-27,3930697.7202731716
2017-11-29,4072476.5828334843
2018-02-25,5409417.793929241
2018-02-27,5410984.040555493
2018-03-02,5410984.040555493
2018-03-14,5604883.837955773
2018-03-19,6066870.170420218
2018-03-22,6066870.170420218
2018-04-01,5835021.37773834
2018-04-18,5990306.470603277
2018-04-21,6225997.580707891
2018-04-23,6225997.580707891
2018-04-26,6138866.276539939
2018-05-06,6133947.65897995
2018-05-11,6132308.437925807
2018-05-18,6132308.437925807
2018-05-21,6132308.437925807
2018-06-20,5967568.57320378
2018-06-22,5967568.57320378
2018-06-25,6193065.46997857
2018-06-27,6061972.582238582
2018-07-02,6124114.719172935
2018-07-07,5985431.421098392
2018-07-10,5948103.94872511
2018-07-12,5935140.364708148
2018-07-15,5788404.142355311
2018-07-17,5788404.142355311
2018-07-20,5809284.733124885
2018-07-22,5772360.734303283
2018-07-25,5870476.662722661
2018-07-27,5959455.506984988
2018-07-30,5985431.421098392
2018-08-01,6048919.369864659
2018-08-04,5831802.038426857
2018-08-06,5961077.799604559
2018-08-11,5851127.7482498735
2018-08-16,5998434.755142218
2018-08-19,6107739.21891903
2018-08-21,5843072.54794202
2018-08-26,6014703.3264888525
2018-08-31,5818931.133732643
2018-09-03,5506835.910601154
2018-09-08,5991931.807339696
2018-09-10,5991931.807339696
2018-09-13,5991931.807339696
2018-09-20,5826974.239160641
2018-09-23,5873703.736335977
2018-09-25,5793220.316911992
2018-09-28,5931901.073619877
2018-09-30,5770757.282878835
2018-10-03,5614405.657908738
2018-10-05,5687600.996117905
2018-10-23,5204123.532387109
